Protein_ID,Label
O14737-2,2
O14744,6
O14744-2,2
O14744-3,3
O14744-5,2
O14745,5
O14746,1
O14756,1
O14757,3
O14763,3
O14764,1
O14770,1
O14771,1
O14772,3
O14773,3
O14775,4
O14775-3,1
O14776,8
O14776-2,1
O14777,5
O14782,5
O14786,3
O14786-2,1
O14787,5
O14787-2,2
O14788,1
O14791,3
O14792,2
O14795,3
O14802,5
O14810,1
O14813,3
O14815,1
O14817,3
O14818,8
O14818-2,2
O14818-4,1
O14827,1
O14828,2
O14830,1
O14832,5
O14835,1
O14836,1
O14841,2
O14862,4
O14863,1
O14867,4
O14874,6
O14874-2,1
O14874-3,1
O14879,3
O14880,4
O14893,4
O14896,1
O14901,2
O14904,3
O14905,1
O14907,5
O14908,5
O14910,1
O14920,5
O14921,1
O14924,3
O14924-5,1
O14925,1
O14929,6
O14933,3
O14936,4
O14936-2,1
O14936-3,2
O14936-4,1
O14936-6,1
O14939,2
O14939-4,1
O14948,1
O14949,4
O14950,4
O14957,1
O14958,1
O14964,6
O14964-2,2
O14965,4
O14966,2
O14967,3
O14972,3
O14974,8
O14975,5
O14976,6
O14976-2,1
O14977,2
O14978,2
O14979,9
O14979-2,1
O14979-3,2
O14980,7
O14981,5
O14983,4
O14983-2,1
O14986,2
O14990,1
O14994,1
O15013,3
O15014,5
O15015,3
O15016,1
O15018,2
O15020,4
O15020-2,1
O15021,4
O15027,3
O15027-2,2
O15027-3,2
O15027-4,2
O15027-5,2
O15031,4
O15033,1
O15034,2
O15037,2
O15040,1
O15041,2
O15041-2,1
O15042,9
O15042-2,2
O15042-3,2
O15047,3
O15049,1
O15050,3
O15054,3
O15055,2
O15056,2
O15056-2,1
O15056-3,2
O15060,2
O15061,5
O15062,3
O15063,2
O15066,4
O15067,5
O15068,3
O15069,2
O15072,2
O15075,1
O15078,6
O15079,3
O15083,5
O15084,4
O15084-1,2
O15084-2,1
O15084-4,2
O15085,2
O15090,4
O15091,6
O15091-2,2
O15091-3,1
O15091-4,1
O15105,4
O15105-3,2
O15111,5
O15116,2
O15117,3
O15117-2,1
O15117-3,1
O15118,4
O15119,3
O15120,2
O15121,3
O15123,1
O15126,3
O15126-2,1
O15127,1
O15131,4
O15143,7
O15144,9
O15145,9
O15151,2
O15155,1
O15156,4
O15156-2,1
O15160,5
O15160-2,1
O15162,4
O15164,4
O15164-2,2
O15165,1
O15165-5,1
O15169,2
O15173,6
O15182,2
O15195,2
O15197,1
O15198,3
O15198-2,1
O15205,2
O15209,1
O15211,2
O15211-2,1
O15212,5
O15213,6
O15217,2
O15226,6
O15226-2,2
O15228,4
O15228-2,1
O15229,1
O15230,4
O15231,2
O15232,1
O15234,2
O15235,5
O15239,1
O15240,1
O15247,3
O15254,2
O15254-2,1
O15258,3
O15259,2
O15260,6
O15260-2,1
O15264,2
O15265,5
O15265-2,1
O15266,3
O15269,6
O15269-2,1
O15270,6
O15287,1
O15294,5
O15294-3,1
O15296,1
O15297,4
O15304,1
O15305,4
O15315,2
O15315-2,1
O15318,3
O15321,1
O15327,4
O15344,2
O15344-2,1
O15347,7
O15350,5
O15350-2,1
O15350-3,1
O15350-4,1
O15350-5,1
O15350-6,2
O15353,2
O15355,8
O15357,4
O15360,2
O15360-2,1
O15360-3,1
O15370,2
O15371,8
O15372,8
O15374,2
O15375,1
O15379,2
O15381,5
O15382,7
O15382-2,3
O15391,4
O15392,3
O15392-4,1
O15392-5,1
O15394,2
O15397,3
O15399,1
O15400,4
O15400-2,1
O15403,3
O15405,2
O15409,2
O15417,4
O15427,5
O15428,1
O15431,1
O15438,5
O15438-2,1
O15438-4,1
O15439,2
O15439-2,1
O15440,2
O15446,3
O15446-2,2
O15455,1
O15457,3
O15460,4
O15460-2,3
O15466,2
O15479,5
O15480,3
O15481,1
O15484,4
O15488,3
O15492,3
O15498,6
O15498-2,1
O15503,1
O15504,1
O15511,7
O15511-2,2
O15514,3
O15516,3
O15519,1
O15519-10,1
O15519-11,1
O15519-12,2
O15519-13,1
O15519-14,1
O15519-2,1
O15519-5,1
O15519-8,1
O15519-9,1
O15523,3
O15525,3
O15527,2
O15530,3
O15530-2,2
O15530-3,2
O15530-4,2
O15530-5,2
O15533,2
O15533-2,1
O15533-3,1
O15534,2
O15535,2
O15535-2,1
O15537,1
O15539,1
O15541,5
O15544,1
O15550,3
O15551,1
O15553,1
O15554,2
O19617,2
O19760,1
O43143,8
O43147,3
O43147-5,1
O43148,9
O43148-2,4
O43149,4
O43150,3
O43151,4
O43151-3,1
O43156,2
O43157,1
O43159,7
O43164,3
O43164-2,2
O43166,5
O43166-2,1
O43166-3,1
O43167,2
O43167-2,1
O43169,6
O43172,7
O43172-2,3
O43175,5
O43181,4
O43182,1
O43184,2
O43187,3
O43189,2
O43189-2,1
O43196,1
O43196-2,1
O43196-3,1
O43196-4,1
O43236,1
O43236-4,1
O43237,6
O43242,8
O43248,3
O43251-6,1
O43251-7,1
O43251-8,1
O43251,3
O43252,6
O43255,2
O43257,3
O43264,5
O43264-2,1
O43272,1
O43278,1
O43278-2,1
O43280,1
O43283,3
O43286,1
O43290,9
O43291,4
O43292,3
O43293,6
O43294,2
O43295,4
O43296,3
O43298,3
O43299,3
O43299-2,1
O43299-3,1
O43300,1
O43301,1
O43303,4
O43306,1
O43306-2,1
O43307,3
O43309,2
O43310,1
O43312,2
O43313,2
O43313-2,1
O43314,3
O43318,4
O43318-2,1
O43318-3,1
O43324,5
O43324-2,2
O43325,1
O43345,4
O43347,2
O43353,2
O43361,4
O43364,1
O43374,2
O43379,2
O43390,9
O43390-2,4
O43390-3,4
O43392,1
O43395,10
O43395-3,1
O43396,6
O43399,6
O43399-2,2
O43399-3,1
O43399-4,1
O43399-5,1
O43399-6,1
O43402,5
O43414,4
O43414-3,1
O43422,4
O43422-2,1
O43423,3
O43424,1
O43426,3
O43427,3
O43427-2,1
O43432,6
O43432-3,2
O43432-4,2
O43435,3
O43435-3,1
O43439,3
O43439-2,2
O43439-5,1
O43447,6
O43448,2
O43451,3
O43462,2
O43463,4
O43464,2
O43464-3,1
O43464-4,1
O43474,3
O43474-4,1
O43482,3
O43488,3
O43490,1
O43490-2,1
O43490-3,1
O43490-4,1
O43490-5,1
O43490-6,1
O43490-7,1
O43491,8
O43491-2,2
O43491-3,2
O43491-4,2
O43493,2
O43502,3
O43502-2,1
O43504,2
O43505,4
O43506,1
O43513,3
O43516-3,1
O43520,5
O43521,1
O43524,2
O43526,3
O43529,1
O43541,1
O43542,2
O43543,1
O43556,1
O43561,1
O43566,1
O43567,1
O43570,2
O43572,2
O43581,2
O43583,5
O43586,2
O43592,5
O43593,2
O43593-2,1
O43597,2
O43598,4
O43602,2
O43609,1
O43610,1
O43615,6
O43617,5
O43623,3
O43633,5
O43638,1
O43639,3
O43657,4
O43660,7
O43660-2,3
O43663,4
O43665,3
O43665-2,1
O43670,4
O43670-2,1
O43670-3,1
O43670-4,1
O43674,5
O43676,6
O43677,2
O43678,5
O43679,3
O43680,1
O43681,4
O43683,3
O43683-2,1
O43684,7
O43684-2,3
O43688,1
O43699,1
O43707,9
O43707-2,2
O43707-3,2
O43708,5
O43709,4
O43709-3,1
O43711,1
O43715,2
O43716,1
O43719,8
O43731,2
O43734-5,1
O43736,1
O43739,2
O43741,3
O43747,5
O43747-2,2
O43752,4
O43759,1
O43759-2,1
O43760,1
O43761,1
O43765,6
O43766,1
O43768,4
O43768-2,2
O43768-6,1
O43772,3
O43776,7
O43781,3
O43790,4
O43791,3
O43795,7
O43795-2,1
O43805,2
O43808,2
O43809,9
O43813,2
O43815,3
O43815-2,2
O43818,6
O43819,3
O43822,2
O43822-2,1
O43823,6
O43824,2
O43826,1
O43826-2,1
O43827,1
O43829,4
O43837,6
O43837-2,2
O43837-3,2
O43847,3
O43852,7
O43852-2,2
O43852-3,2
O43852-4,2
O43854,3
O43854-2,1
O43861,2
O43865,8
O43868,2
O43889,2
O43896,3
O43897,2
O43900,3
O43903,1
O43909,2
O43913,3
O43918,1
O43920,5
O43921,1
O43924,2
O43927,3
O43929,5
O43930,1
O43933,2
O43934,1
O60216,7
O60218,6
O60220,3
O60224,2
O60225,2
O60229,4
O60231,4
O60232,1
O60234,3
O60237,2
O60238,4
O60239,3
O60241,1
O60243,1
O60244,4
O60245,2
O60256,2
O60256-2,2
O60256-3,2
O60256-4,2
O60260,1
O60262,1
O60264,8
O60266,3
O60268,1
O60271,8
O60271-2,1
O60271-3,1
O60271-4,1
O60271-5,1
O60279,2
O60281,4
O60281-2,1
O60282,6
O60284,3
O60285,1
O60287,5
O60290,2
O60291,5
O60291-2,1
O60291-3,1
O60291-4,1
O60292,4
O60293,5
O60293-2,2
O60294,3
O60296,4
O60299,1
O60303,5
O60304,2
O60306,5
O60307,1
O60308,2
O60312,2
O60313,7
O60313-10,2
O60313-11,2
O60313-13,2
O60313-2,2
O60313-9,2
O60315,3
O60315-2,1
O60318,5
O60331,3
O60333,3
O60333-3,1
O60333-4,1
O60336,2
O60336-4,1
O60337,2
O60341,6
O60341-2,3
O60343,4
O60343-2,1
O60343-3,1
O60346,2
O60347,3
O60353,2
O60356,1
O60361,7
O60381,3
O60381-2,1
O60381-3,2
O60384,1
O60397,2
O60422,3
O60423,2
O60427,1
O60431,2
O60437,6
O60443,4
O60447,3
O60449,2
O60462,1
O60469,2
O60476,2
O60479,3
O60481,1
O60481-2,1
O60486,2
O60487,1
O60488,8
O60488-2,3
O60493,4
O60493-2,1
O60493-3,1
O60494,2
O60496,1
O60499,3
O60502,4
O60502-2,1
O60502-3,1
O60503,2
O60504,4
O60506,7
O60506-2,4
O60506-3,3
O60506-4,3
O60506-5,3
O60507,1
O60508,4
O60512,1
O60518,4
O60522,2
O60524,4
O60547,4
O60548,1
O60551,2
O60563,6
O60565,1
O60566,3
O60566-2,1
O60566-3,2
O60568,6
O60573,3
O60573-2,1
O60583,3
O60602,1
O60603,2
O60610,7
O60610-2,2
O60610-3,2
O60613,3
O60635,1
O60637,3
O60641,1
O60645,5
O60656,2
O60658,1
O60658-2,1
O60662,3
O60663,2
O60664,8
O60664-3,2
O60664-4,3
O60669,1
O60671,2
O60671-2,1
O60673,6
O60673-2,1
O60674,4
O60675,3
O60676,1
O60678,3
O60682,1
O60683,1
O60684,6
O60687,1
O60701,6
O60701-2,2
O60701-3,3
O60704,2
O60711,2
O60716,7
O60716-2,1
O60716-26,1
O60716-29,1
O60716-3,2
O60716-30,1
O60716-32,2
O60716-4,1
O60716-5,2
O60716-6,1
O60716-7,1
O60716-8,1
O60721,1
O60725,1
O60729,1
O60732,2
O60733,2
O60739,4
O60741,1
O60749,6
O60749-2,2
O60759,2
O60762,5
O60763,7
O60763-2,1
O60765,3
O60774,2
O60779,1
O60783,2
O60784,4
O60784-2,1
O60784-3,2
O60806,2
O60809,2
O60810,1
O60811,2
O60812,6
O60814,13
O60825,2
O60826,3
O60828,5
O60828-2,1
O60828-5,1
O60830,1
O60831,4
O60832,7
O60832-2,1
O60840,1
O60840-4,1
O60841,8
O60844,1
O60858,1
O60861,2
O60869,7
O60869-2,1
O60870,7
O60870-2,1
O60879,3
O60879-3,1
O60880,2
O60880-4,2
O60882,2
O60884,7
O60885,6
O60885-2,2
O60888,4
O60888-2,1
O60890,3
O60906,1
O60907,4
O60907-2,1
O60909,1
O60911,1
O60921,2
O60925,5
O60927,4
O60928,1
O60930,3
O60931,1
O60934,7
O60938,1
O60939,1
O60941,2
O60942,4
O60942-2,2
O60942-3,2
O60942-4,2
O75015,1
O75027,5
O75027-2,2
O75027-3,2
O75030,3
O75030-2,1
O75030-7,1
O75030-9,1
O75031,2
O75037,3
O75038,2
O75038-3,1
O75038-4,1
O75044,4
O75051,1
O75052,2
O75054,1
O75056,1
O75061,4
O75063,1
O75064,3
O75069,1
O75071,2
O75072,2
O75081,2
O75083,7
O75083-3,2
O75084,2
O75093,3
O75094,3
O75096,2
O75110,3
O75110-2,1
O75112,3
O75112-7,1
O75113,3
O75116,8
O75121,1
O75122,3
O75122-3,1
O75123,2
O75127,2
O75128,2
O75128-3,1
O75129,2
O75131,6
O75132,4
O75140,3
O75143,2
O75145,3
O75146,2
O75147,3
O75150,7
O75150-3,2
O75150-4,1
O75151,5
O75152,7
O75153,6
O75155,4
O75155-2,2
O75157,2
O75157-2,1
O75159,3
O75161,2
O75164,5
O75165,5
O75167,3
O75170,3
O75173,1
O75175,3
O75179,5
O75179-2,1
O75179-3,1
O75179-4,1
O75179-5,1
O75182,5
O75182-2,2
O75182-3,1
O75185,2
O75190,4
O75190-2,2
O75190-3,1
O75191,3
O75191-2,1
O75192,2
O75197,1
O75200,1
O75204,2
O75208,4
O75223,5
O75251,2
O75264,2
O75290,4
O75298,1
O75306,4
O75311,1
O75312,3
O75319,3
O75323,6
O75326,3
O75330,2
O75330-3,2
O75334,4
O75335,2
O75339,3
O75340,5
O75340-2,1
O75344,2
O75346,3
O75347,5
O75347-2,2
O75348,6
O75351,4
O75352,5
O75354,2
O75355,1
O75356,1
O75362,5
O75363,4
O75365,1
O75366,4
O75367,9
O75367-2,2
O75367-3,1
O75368,6
O75369,7
O75369-2,2
O75369-3,2
O75369-4,2
O75369-5,3
O75369-6,2
O75369-7,2
O75369-8,2
O75369-9,2
O75373,3
O75376,6
O75376-2,2
O75379,1
O75380,5
O75381,2
O75381-2,2
O75382,1
O75385,4
O75386,1
O75387,1
O75387-2,1
O75390,8
O75391,5
O75394,3
O75396,7
O75398,2
O75398-4,1
O75400,7
O75400-2,2
O75400-3,3
O75410,3
O75410-2,1
O75410-7,1
O75417,4
O75419,3
O75419-2,1
O75420,4
O75426,1
O75427,4
O75431,3
O75436,5
O75437,4
O75438,2
O75439,6
O75443,1
O75444,2
O75444-1,1
O75445,2
O75446,4
O75448,3
O75449,4
O75449-2,1
O75452,2
O75459,2
O75460,2
O75461,4
O75462,1
O75467,2
O75469,3
O75474,1
O75475,8
O75475-2,2
O75475-3,1
O75477,5
O75478,3
O75486,2
O75487,1
O75487-2,1
O75489,6
O75494,2
O75494-2,2
O75496,3
O75503,1
O75506,3
O75509,2
O75521,7
O75521-2,2
O75525,4
O75525-2,1
O75526,2
O75528,5
O75529,3
O75529-2,1
O75530,4
O75530-2,4
O75530-3,2
O75531,7
O75533,9
O75534,7
O75534-2,3
O75534-4,2
O75541,1
O75553,3
O75554,6
O75554-2,1
O75558,2
O75563,2
O75564,2
O75569,2
O75569-3,1
O75570,2
O75575,5
O75581,2
O75582,3
O75582-3,1
O75586,3
O75586-2,3
O75592,3
O75592-2,2
O75600,3
O75602,1
O75604,1
O75607,4
O75608,3
O75616,2
O75618,2
O75626,4
O75629,1
O75631,1
O75635,2
O75635-2,1
O75636,1
O75638,2
O75638-2,1
O75643,9
O75643-2,2
O75648,3
O75648-2,1
O75663,5
O75663-2,2
O75665,4
O75665-2,1
O75665-3,1
O75674,5
O75676,4
O75676-2,1
O75683,6
O75688,2
O75688-2,1
O75689,3
O75689-2,1
O75689-3,1
O75690,1
O75691,7
O75694,7
O75694-2,1
O75695,4
O75712,1
O75715,2
O75716,1
O75717,5
O75717-2,1
O75718,5
O75746,3
O75747,2
O75752,2
O75762,3
O75764,2
O75764-2,1
O75771,2
O75781,2
O75787,2
O75791,2
O75792,4
O75794,3
O75795,1
O75800,1
O75807,1
O75808,3
O75808-2,1
O75815,6
O75817,5
O75818,3
O75820,1
O75820-2,1
O75820-4,1
O75821,9
O75822,8
O75822-2,1
O75828,3
O75829,2
O75830,1
O75832,6
O75840,1
O75840-2,1
O75843,2
O75844,7
O75845,3
O75864,1
O75865,2
O75874,6
O75879,4
O75880,5
O75881,3
O75882,4
O75882-2,1
O75882-3,1
O75884,4
O75886,4
O75886-2,1
O75888,2
O75891,4
O75891-2,1
O75891-3,1
O75896,1
O75897,3
O75899,3
O75900,1
O75901,1
O75907,1
O75909,3
O75909-1,1
O75909-2,1
O75909-4,2
O75911,2
O75911-2,1
O75912,2
O75914,2
O75914-2,2
O75914-3,2
O75914-4,2
O75915,5
O75916,3
O75920,1
O75923,4
O75923-13,1
O75925,3
O75925-2,1
O75928,3
O75928-2,2
O75934,3
O75935,4
O75935-2,1
O75935-3,2
O75936,2
O75937,6
O75940,4
O75943,3
O75947,7
O75947-2,2
O75952,1
O75953,2
O75954,1
O75955,6
O75962,4
O75964,8
O75969,2
O75970,3
O75970-2,1
O75971,2
O75976,4
O75995,2
O76002,1
O76003,7
O76011,1
O76014,1
O76021,9
O76024,3
O76031,6
O76036,1
O76038,3
O76039,3
O76041,4
O76041-2,1
O76050,1
O76054,2
O76061,2
O76062,1
O76064,3
O76070,4
O76071,3
O76074,2
O76075,3
O76075-2,1
O76080,2
O76081,1
O76082,1
O76083,1
O76090,1
O76094,7
O76094-2,1
O76095,2
O76104,1
O77932,1
O94759,2
O94759-2,2
O94759-3,2
O94760,3
O94761,4
O94762,5
O94762-2,1
O94762-3,1
O94763,4
O94766,4
O94768,3
O94769,1
O94776,9
O94776-2,1
O94779,1
O94782,5
O94788,4
O94804,4
O94805,2
O94806,2
O94806-2,1
O94808,6
O94810,2
O94811,2
O94812,2
O94813,2
O94817,4
O94818,1
O94819,2
O94822,3
O94822-2,2
O94822-3,2
O94823,1
O94826,8
O94827,1
O94829,2
O94830,2
O94830-2,1
O94832,5
O94842,4
O94842-2,1
O94844,1
O94850,4
O94851,5
O94851-5,1
O94854,1
O94855,5
O94855-2,1
O94856,2
O94864,2
O94864-2,1
O94868,4
O94868-2,1
O94874,5
O94874-2,3
O94875,3
O94875-11,1
O94875-12,1
O94876,3
O94880,3
O94885,2
O94886,2
O94887,2
O94887-2,1
O94888,4
O94889,2
O94892,2
O94898,1
O94900,3
O94901,3
O94901-2,1
O94901-3,2
O94901-9,1
O94903,5
O94905,6
O94906,7
O94906-2,3
O94910,2
O94911,1
O94913,6
O94915,3
O94916,5
O94916-2,1
O94916-4,1
O94919,5
O94921,1
O94923,2
O94925,7
O94925-2,1
O94925-3,2
O94927,1
O94927-2,1
O94941,2
O94952,1
O94952-1,1
O94953,3
O94955,3
O94964,2
O94964-2,1
O94966,2
O94966-3,1
O94966-5,1
O94967,3
O94972,4
O94973,6
O94973-2,2
O94973-3,2
O94979,8
O94979-2,1
O94979-3,1
O94979-4,2
O94979-5,1
O94979-6,1
O94979-8,1
O94983,2
O94985,3
O94985-2,1
O94986,3
O94988,2
O94991,1
O94992,6
O95006,2
O95025,2
O95036,1
O95049,3
O95050,1
O95057,1
O95067,2
O95070,2
O95071,4
O95071-2,1
O95073,2
O95081,6
O95084,1
O95086,1
O95096,1
O95104,4
O95104-2,2
O95125,2
O95136,1
O95139,6
O95139-2,1
O95140,4
O95147,1
O95149,3
O95153,1
O95154,1
O95155,4
O95155-2,1
O95155-3,2
O95155-4,1
O95157,1
O95158,2
O95159,5
O95163,6
O95166,5
O95167,2
O95168,4
O95169,3
O95171,2
O95180,1
O95182,6
O95183,2
O95185,1
O95197,7
O95197-4,1
O95198,1
O95199,2
O95201,2
O95202,7
O95205,2
O95208,3
O95208-2,2
O95208-3,2
O95218,8
O95218-2,3
O95219,4
O95219-2,1
O95221,1
O95229,2
O95232,5
O95235,3
O95236,1
O95236-2,1
O95237,1
O95238,2
O95239,6
O95239-2,3
O95243,3
O95243-2,1
O95243-3,1
O95248,4
O95249,4
O95251,5
O95251-2,1
O95251-3,1
O95251-4,2
O95251-5,1
O95255,2
O95256,2
O95259,1
O95260,3
O95260-2,2
O95263,1
O95263-4,1
O95267,2
O95271,3
O95271-2,1
O95273,1
O95273-2,1
O95278,1
O95279,1
O95292,8
O95294,3
O95294-2,1
O95295,3
O95297,2
O95297-3,1
O95298,6
O95299,7
O95302,6
O95302-2,1
O95319,5
O95319-2,2
O95319-3,2
O95319-4,2
O95319-5,2
O95336,5
O95340,5
O95340-2,2
O95342,1
O95343,1
O95347,9
O95347-2,2
O95352,2
O95352-2,2
O95352-3,3
O95359,5
O95359-1,1
O95359-2,1
O95359-3,1
O95359-5,1
O95359-6,1
O95361,4
O95363,3
O95365,4
O95371,1
O95372,2
O95373,6
O95376,3
O95379,4
O95382,2
O95382-3,1
O95389,1
O95390,1
O95391,5
O95393,1
O95394,4
O95396,3
O95397,2
O95398,1
O95400,5
O95402,3
O95409,2
O95415,1
O95416,1
O95425,7
O95427,3
O95429,2
O95433,7
O95433-2,3
O95445,1
O95447,2
O95450,1
O95453,7
O95453-2,4
O95453-3,3
O95453-4,3
O95455,3
O95456,6
O95456-2,3
O95461,2
O95466,5
O95466-2,1
O95466-3,1
O95470,7
O95471,1
O95475,1
O95476,1
O95477,2
O95478,5
O95479,1
O95486,2
O95486-2,1
O95487,3
O95490,4
O95497,2
O95502,1
O95503,3
O95521,2
O95522,1
O95528,1
O95544,3
O95544-2,1
O95551,3
O95551-2,1
O95551-3,1
O95561,1
O95562,1
O95563,4
O95567,2
O95568,2
O95571,6
O95573,8
O95600,3
O95602,5
O95613,2
O95619,4
O95620,2
O95622,1
O95625,3
O95626,3
O95628,2
O95628-4,1
O95630,4
O95631,2
O95633,1
O95639,4
O95639-2,1
O95644,3
O95644-6,1
O95661,3
O95670,2
O95671,6
O95671-2,1
O95672,2
O95674,3
O95677,3
O95678,6
O95684,2
O95685,2
O95696,4
O95704,1
O95704-2,1
O95707,5
O95714,6
O95718,3
O95721,4
O95741,1
O95747,5
O95749,5
O95749-2,1
O95750,1
O95754,2
O95757,10
O95758,7
O95758-1,2
O95758-2,2
O95758-4,3
O95758-5,2
O95758-6,2
O95758-7,2
O95759,1
O95760,1
O95772,2
O95777,1
O95780,3
O95782,6
O95782-2,2
O95785,5
O95785-2,1
O95785-3,3
O95786,5
O95786-2,2
O95789,4
O95793,3
O95793-2,2
O95793-3,1
O95801,3
O95803,2
O95807,1
O95810,3
O95816,7
O95816-2,2
O95817,6
O95819,4
O95819-2,1
O95819-3,1
O95819-4,1
O95819-5,1
O95822,1
O95825,4
O95831,6
O95831-3,1
O95831-4,1
O95831-6,1
O95832,1
O95833,2
O95834,2
O95834-2,1
O95834-3,1
O95835,5
O95837,2
O95838,1
O95847,1
O95857,1
O95858,3
O95859,1
O95861,4
O95861-3,1
O95863,3
O95864,4
O95864-3,3
O95865,2
O95870,2
O95872,2
O95873,2
O95876,1
O95881,4
O95886,1
O95897,1
O95900,1
O95905,3
O95905-2,1
O95922,2
O95926,3
O95931,1
O95932,2
O95935,2
O95936,3
O95936-3,1
O95954,1
O95965,1
O95969,1
O95970,1
O95977,1
O95980,1
O95983,4
O95983-2,2
O95985,3
O95985-2,1
O95985-3,1
O95988,1
O95989,2
O95990,1
O95994,5
O95995,3
O95996,1
O95997,3
O95999,3
O96000,4
O96001,2
O96004,1
O96005,5
O96005-3,1
O96006,3
O96007,3
O96008,4
O96008-2,1
O96011,3
O96011-2,2
O96013,3
O96013-2,1
O96013-3,1
O96013-4,1
O96014,1
O96015,2
O96017,3
O96019,6
O96020,1
O96020-2,1
O96028,6
O96028-2,1
O96033,1
P00167,3
P00167-2,2
P00167-3,2
P00325,3
P00326,1
P00338,9
P00338-2,3
P00338-3,6
P00338-4,3
P00338-5,3
P00352,7
P00367,10
P00367-2,2
P00367-3,2
P00374,4
P00374-2,1
P00387,6
P00387-2,2
P00387-3,2
P00390,8
P00390-2,3
P00390-3,2
P00390-4,2
P00390-5,2
P00403,1
P00414,1
P00439,1
P00441,8
P00450,4
P00451,3
P00480,3
P00488,4
P00491,7
P00492,6
P00505,9
P00505-2,3
P00519,3
P00519-2,1
P00533,8
P00558,9
P00558-2,2
P00568,6
P00734,3
P00736,2
P00738,5
P00739,4
P00740,1
P00742,1
P00746,1
P00747,1
P00748,2
P00749,1
P00750,2
P00751,4
P00813,4
P00846,1
P00915,3
P00918,6
P00966,7
P00973,2
P01008,2
